run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,rmse_velocity,cosine_similarity,rmse_mass_created,rmse_mass_destroyed
phase2_24_48_ott_v1,20251112_A10_e01__28to30,20251112_A10_e01,mutant,11,cep290_homozygous,28.0,30.0,31.892699080022613,0.27392445726650494,0.09672834117691632,0.00020871606018403968
phase2_24_48_ott_v1,20251112_A10_e01__30to32,20251112_A10_e01,mutant,11,cep290_homozygous,30.0,32.0,30.634460549936094,0.4339298649933274,0.13363843064423192,0.00020678605264027843
phase2_24_48_ott_v1,20251112_A10_e01__32to34,20251112_A10_e01,mutant,11,cep290_homozygous,32.0,34.0,52.77454924882646,-0.29134684776569375,0.21993293670455874,0.0003886362363042566
phase2_24_48_ott_v1,20251112_A10_e01__34to36,20251112_A10_e01,mutant,11,cep290_homozygous,34.0,36.0,54.3528812418972,0.24312763491190087,0.13051609194976066,0.0005581246111278905
phase2_24_48_ott_v1,20251112_A10_e01__36to38,20251112_A10_e01,mutant,11,cep290_homozygous,36.0,38.0,24.99416075940527,0.4271354365377735,0.08350607229275642,0.00028435176052746003
phase2_24_48_ott_v1,20251112_A10_e01__38to40,20251112_A10_e01,mutant,11,cep290_homozygous,38.0,40.0,16.651972796887453,0.6238027077538139,0.07216159870728445,0.00020792184083883713
phase2_24_48_ott_v1,20251112_A10_e01__40to42,20251112_A10_e01,mutant,11,cep290_homozygous,40.0,42.0,21.72586662446409,0.5948314348502086,0.10133076402413557,0.00028656684981416726
phase2_24_48_ott_v1,20251112_A10_e01__42to44,20251112_A10_e01,mutant,11,cep290_homozygous,42.0,44.0,151.27601091907306,-0.7024358562336074,0.06652495459191136,0.003039059218507436
phase2_24_48_ott_v1,20251112_A10_e01__44to46,20251112_A10_e01,mutant,11,cep290_homozygous,44.0,46.0,136.93697301756924,0.036164731095296866,0.05746730971448389,0.0028728359135682235
phase2_24_48_ott_v1,20251112_A10_e01__46to48,20251112_A10_e01,mutant,11,cep290_homozygous,46.0,48.0,129.88603977225662,0.17359592754957673,0.060444524527797985,0.003058361453032817
phase2_24_48_ott_v1,20251112_B09_e01__24to26,20251112_B09_e01,mutant,4,cep290_homozygous,24.0,26.0,62.182317736791084,0.28437068029459583,0.05659817230869023,0.0005189877781669452
phase2_24_48_ott_v1,20251112_B09_e01__26to28,20251112_B09_e01,mutant,4,cep290_homozygous,26.0,28.0,52.23669436231581,0.18225208755175096,0.11456671681582026,0.00016254041738433025
phase2_24_48_ott_v1,20251112_B09_e01__28to30,20251112_B09_e01,mutant,4,cep290_homozygous,28.0,30.0,28.59720411043426,0.12960028365186485,0.1023851469598154,0.00021337854663108606
phase2_24_48_ott_v1,20251112_B09_e01__30to32,20251112_B09_e01,mutant,4,cep290_homozygous,30.0,32.0,31.668779086085316,0.4837525429835862,0.13314420911346994,0.00022957921125696276
phase2_24_48_ott_v1,20251112_B09_e01__32to34,20251112_B09_e01,mutant,4,cep290_homozygous,32.0,34.0,46.68722971265033,-0.2980907089184613,0.22405817291530397,0.00038660156112915983
