timepoint,temp,embryo,well,pheno_note,tag
30,32C,HF4-30-HF4-30hpf-32C_P9_C3,C3,norm,30-32C-C3
36,32C,HF4-36-HF4-36hpf-32C_P12_H3,H3,norm,36-32C-H3
36,32C,HF4-36-HF4-36hpf-32C_P12_D4,D4,norm,36-32C-D4
36,34C,HF4-36-HF4-36hpf-34C_P12_G11,G11,severe,36-34C-G11
24,34C,HF4-24-HF4-24hpf-34C_P2_F11,F11,severe,24-34C-F11
30,32C,HF4-30-HF4-30hpf-32C_P9_G7,G7,severe,30-32C-G7
24,32C,HF4-24-HF4-24hpf-32C_P2_D4,D4,norm,24-32C-D4
24,32C,HF4-24-HF4-24hpf-32C_P2_G6,G6,severe,24-32C-G6
36,32C,HF4-36-HF4-36hpf-32C_P12_E7,E7,severe,36-32C-E7
30,34C,HF4-30-HF4-30hpf-34C_P9_B8,B8,norm,30-34C-B8
36,34C,HF4-36-HF4-36hpf-34C_P12_F9,F9,norm,36-34C-F9
36,32C,HF4-36-HF4-36hpf-32C_P12_B7,B7,severe,36-32C-B7
30,32C,HF4-30-HF4-30hpf-32C_P9_C5,C5,norm,30-32C-C5
36,34C,HF4-36-HF4-36hpf-34C_P12_A12,A12,severe,36-34C-A12
30,32C,HF4-30-HF4-30hpf-32C_P9_D7,D7,severe,30-32C-D7
30,32C,HF4-30-HF4-30hpf-32C_P9_F4,F4,norm,30-32C-F4
24,32C,HF4-24-HF4-24hpf-32C_P2_B7,B7,norm,24-32C-B7
36,32C,HF4-36-HF4-36hpf-32C_P12_B4,B4,norm,36-32C-B4
24,34C,HF4-24-HF4-24hpf-34C_P2_G10,G10,severe,24-34C-G10
30,34C,HF4-30-HF4-30hpf-34C_P9_H8,H8,norm,30-34C-H8
30,34C,HF4-30-HF4-30hpf-34C_P9_A11,A11,severe,30-34C-A11
36,32C,HF4-36-HF4-36hpf-32C_P12_C7,C7,severe,36-32C-C7
24,32C,HF4-24-HF4-24hpf-32C_P2_F5,F5,severe,24-32C-F5
30,32C,HF4-30-HF4-30hpf-32C_P9_G4,G4,norm,30-32C-G4
30,32C,HF4-30-HF4-30hpf-32C_P9_A5,A5,norm,30-32C-A5
24,32C,HF4-24-HF4-24hpf-32C_P2_E6,E6,severe,24-32C-E6
36,34C,HF4-36-HF4-36hpf-34C_P12_G12,G12,severe,36-34C-G12
36,32C,HF4-36-HF4-36hpf-32C_P12_F6,F6,severe,36-32C-F6
24,34C,HF4-24-HF4-24hpf-34C_P2_D10,D10,norm,24-34C-D10
