snip_id,opening_applied,opening_skipped,solidity_before_opening,area,perimeter,solidity,extent,eccentricity,circularity,perimeter_area_ratio,pca_success,pca_n_points,geodesic_success,geodesic_n_points,mean_distance,max_distance,hausdorff_distance,spline2_was_flipped,both_methods_succeeded
20251017_part1_B03_e01_t0000,False,True,0.766311822742342,96389.0,1982.0357133746818,0.766311822742342,0.42693259984674736,0.9832137194170751,3.243288726345415,6.384071439499201,True,200,True,200,15.919994453175319,55.72151025965072,53.41640759728043,True,True
20251017_part1_F03_e01_t0001,False,True,0.7721755185417976,117939.0,2153.172798364529,0.7721755185417976,0.5435002004617533,0.9848289983887185,3.1281708456695747,6.269749133076795,True,200,True,200,27.158057364557948,64.25462547108529,64.25462547108529,True,True
20251017_part1_F07_e01_t0002,False,True,0.6977721196690007,98658.0,1957.3048327204938,0.6977721196690007,0.3744051368849286,0.9669998146825733,3.0901158782221803,6.231495917278282,True,200,True,200,32.60612664770001,68.3787880111082,68.3787880111082,True,True
20251017_part1_E04_e01_t0056,False,True,0.6895761401636955,139604.0,2360.4124804588187,0.6895761401636955,0.4080914379256921,0.9714900167269754,3.1759092078948523,6.317408657350147,True,200,True,200,24.490525145040785,64.19892729585034,64.19892729585034,True,True
20251017_part1_C02_e01_t0047,False,True,0.8139599821291805,102025.0,2590.3128419472077,0.8139599821291805,0.4763605632750635,0.9919591960886015,5.233448680737019,8.109590354226928,True,200,True,200,49.25472672345291,92.99850076264833,92.99850076264833,True,True
20251017_part1_G07_e01_t0035,False,True,0.790381791483113,105497.0,1976.5209947489207,0.790381791483113,0.5383598693610941,0.9644770867606476,2.9468151214254785,6.0852913609646,True,200,True,200,75.89408920506378,139.66008123658858,71.37672138425722,False,True
20251017_part1_H06_e01_t0008,False,True,0.7428710323812234,125306.0,2273.12106653642,0.7428710323812234,0.3665332818514748,0.9860687370560682,3.281431955268012,6.421502168161209,True,200,True,200,32.24748534489776,64.30738825768113,64.30738825768113,True,True
20251017_part1_B03_e01_t0047,False,True,0.6468439647397087,129808.0,2475.372941939529,0.6468439647397087,0.23633725323123028,0.9793765319074476,3.7563837760446965,6.870524776139274,True,200,True,200,28.36416372523695,59.54055226999917,59.54055226999917,True,True
20251017_part1_F03_e01_t0002,False,True,0.7778634161506774,120099.0,2154.54538136656,0.7778634161506774,0.548540030966964,0.9849818632479942,3.0758279348137725,6.217072765769182,True,200,True,200,26.116757966454667,60.92493455756043,60.92493455756043,True,True
20251017_part1_B03_e01_t0017,False,True,0.8442094059735249,126910.0,2165.1038225937173,0.8442094059735249,0.34928524640696645,0.9845154121055308,2.939352999154946,6.077581686313168,True,200,True,200,29.09920230937881,64.0321830300527,64.0321830300527,True,True
20251017_part1_E05_e01_t0022,False,True,0.7643979642571829,136828.0,2278.2064196981587,0.7643979642571829,0.3102675736961451,0.9795388149384142,3.0185703345079182,6.158934449150814,True,200,True,200,31.974750186319735,61.73434081247827,61.73434081247827,False,True
20251017_part1_C04_e01_t0012,False,True,0.7989067771277277,112248.0,2116.798123321446,0.7989067771277277,0.5495887191539366,0.9865170580331466,3.176657611755114,6.318152963029611,True,200,True,200,28.28080193241858,65.37154572963907,65.37154572963907,True,True
20251017_part1_H04_e01_t0012,False,True,0.646215394951824,126960.0,2175.91500577576,0.646215394951824,0.32971827474445276,0.9507189517390636,2.967611713828039,6.106726507342271,True,200,True,200,33.03742576192653,81.79856282389095,81.79856282389095,False,True
20251017_part1_C02_e01_t0045,False,True,0.810678715600748,101013.0,2587.9696961966997,0.810678715600748,0.4702982051819261,0.9917871597723449,5.276321371812411,8.142739701025619,True,200,True,200,52.15032217523776,96.2242600724646,96.2242600724646,True,True
20251017_part1_F04_e01_t0045,False,True,0.7399963549471468,146170.0,2315.900720425888,0.7399963549471468,0.5735598221678105,0.974444654532804,2.9199254584875476,6.057463617526493,True,200,True,200,22.67974623959302,57.50931096587633,57.50931096587633,True,True
20251017_part1_C04_e01_t0047,False,True,0.6705592042175786,157338.0,2476.039897456788,0.6705592042175786,0.45241189731321313,0.9655555882690143,3.1007859488714997,6.2422452234205466,True,200,True,200,28.34616279205634,61.20200144559344,61.20200144559344,True,True
20251017_part1_C03_e01_t0000,False,True,0.6979794123469358,98725.0,1992.812408671319,0.6979794123469358,0.3873573771520944,0.9786681370014436,3.201074863460224,6.342388595675162,True,200,True,200,22.516818628218957,52.47974537117893,52.47974537117893,False,True
20251017_part1_E04_e01_t0023,False,True,0.6972385102092845,120335.0,2156.1231585774735,0.6972385102092845,0.3527975185289427,0.9727529947683445,3.074293325948834,6.215521644329136,True,200,True,200,18.54112062422595,64.44726398705741,62.22082195335154,False,True
20251017_part1_C01_e01_t0025,False,True,0.7920929075588445,152847.0,2440.0327547818515,0.7920929075588445,0.3520765669269574,0.9846204906273279,3.0997347321819086,6.241187022578257,True,200,True,200,40.575744743905595,97.01939363285166,97.01939363285166,False,True
20251017_part1_F07_e01_t0054,False,True,0.7665078480720832,159590.0,2432.858223313768,0.7665078480720832,0.2953669275657908,0.9787928638001883,2.951331974004535,6.089953316023796,True,200,True,200,35.55079253474187,78.73010005316054,78.73010005316054,True,True
20251017_part1_A05_e01_t0040,False,True,0.8155108523028057,147888.0,2422.1008640008868,0.8155108523028057,0.2983008181246067,0.9853267261134454,3.1567606146691407,6.2983350041693305,True,200,True,200,35.079319224363395,71.30867138418992,71.30867138418992,True,True
20251017_part1_G04_e01_t0064,False,True,0.7204270183502973,157981.0,2431.159738503933,0.7204270183502973,0.2885307998012916,0.97268490457176,2.977229183153265,6.116613876924859,True,200,True,200,44.767389226882784,86.82817134368274,80.87470136958862,True,True
20251017_part1_G03_e01_t0011,False,True,0.776297045455947,125882.0,2237.91796436859,0.776297045455947,0.49519875690879406,0.9862805801736927,3.1660285486350817,6.3075738693883014,True,200,True,200,32.65373530596414,78.00951607456953,78.00951607456953,True,True
20251017_part1_A04_e01_t0040,False,True,0.6273558269217195,142204.0,2435.636831182708,0.6273558269217195,0.2949311431889829,0.9521446868607777,3.3197347825138235,6.458871234081676,True,200,True,200,37.67637937552692,85.34297221301985,85.34297221301985,True,True
20251017_part1_H04_e01_t0000,False,True,0.6518842502136101,109100.0,2007.498700172334,0.6518842502136101,0.5287236001667103,0.9463024081456448,2.939516693524534,6.077750916081124,True,200,True,200,19.92667922479773,82.11005743943372,66.56217633432773,False,True
20251017_part1_D07_e01_t0015,False,True,0.7143143276805982,106990.0,2156.4103884177653,0.7143143276805982,0.37052813852813854,0.9822025052592216,3.4586751945298415,6.592646989575036,True,200,True,200,22.377557363884343,55.56071964042753,55.56071964042753,True,True
20251017_part1_E03_e01_t0013,False,True,0.8232003674836262,111109.0,2066.5971131946694,0.8232003674836262,0.6149831183926496,0.9863418478855179,3.0588102291981976,6.199850238441044,True,200,True,200,28.188600622267508,62.265450906267745,62.265450906267745,True,True
20251017_part1_C07_e01_t0033,False,True,0.8348714176592072,147551.0,2329.072293301141,0.8348714176592072,0.455335458526334,0.9845321469439713,2.9255930582939977,6.0633395614396255,True,200,True,200,26.39468319871687,57.83278531357973,57.83278531357973,True,True
20251017_part1_B06_e01_t0045,False,True,0.7514436731268376,135202.0,2437.280446102854,0.7514436731268376,0.3575448246681123,0.9878648566582223,3.496375178334802,6.628479938703991,True,200,True,200,28.880002338281933,56.25341187683697,56.25341187683697,True,True
20251017_part1_G05_e01_t0001,False,True,0.752709339747509,112031.0,2100.2854967367375,0.752709339747509,0.3862924804148737,0.9808855762677665,3.133347700719677,6.274934937582511,True,200,True,200,27.75041266131741,60.67276111596861,60.67276111596861,True,True
20251017_part1_D10_e01_t0018,False,True,0.8531350471501405,126839.0,2305.7972567696684,0.8531350471501405,0.3061015664781873,0.9851250852079028,3.3356429938460854,6.474328235258119,True,200,True,200,35.7734032588821,81.31284715692887,81.31284715692887,True,True
20251017_part1_A04_e01_t0031,False,True,0.6607670779297568,134104.0,2275.069334708311,0.6607670779297568,0.3472325793354876,0.9636924244066136,3.071409175640452,6.212605412340406,True,200,True,200,28.683287693130115,64.20961259398115,64.20961259398115,True,True
20251017_part1_C01_e01_t0028,False,True,0.7961485008890433,155819.0,2460.549565448666,0.7961485008890433,0.30581527712356726,0.9844410050548545,3.0919606552704058,6.233355718964286,True,200,True,200,37.21617729563941,75.74103926881818,75.74103926881818,True,True
20251017_part1_E06_e01_t0023,False,True,0.7582947391865423,115759.0,2214.284450716211,0.7582947391865423,0.4644926489470981,0.9861043500040452,3.3705609911952163,6.508127118738607,True,200,True,200,20.074308020230706,61.017359106740166,60.80769197724967,True,True
20251017_part1_C01_e01_t0033,False,True,0.8014504892642729,159794.0,2478.456203060214,0.8014504892642729,0.28383904052407394,0.9841658682808067,3.0590893739873795,6.200133128891137,True,200,True,200,34.17691384365788,67.7098913974691,67.7098913974691,True,True
