,20251017_combined_A01_e01,20251017_combined_A03_e01,20251017_combined_A04_e01,20251017_combined_A05_e01,20251017_combined_A06_e01,20251017_combined_B01_e01,20251017_combined_B03_e01,20251017_combined_B04_e01,20251017_combined_B05_e01,20251017_combined_B06_e01,20251017_combined_B07_e01,20251017_combined_C01_e01,20251017_combined_C03_e01,20251017_combined_C04_e01,20251017_combined_C05_e01,20251017_combined_C06_e01,20251017_combined_C07_e01,20251017_combined_D04_e01,20251017_combined_D06_e01,20251017_combined_D07_e01,20251017_combined_E04_e01,20251017_combined_E06_e01,20251017_combined_E07_e01,20251017_combined_F03_e01,20251017_combined_F05_e01,20251017_combined_F06_e01,20251017_combined_G03_e01,20251017_combined_G04_e01,20251017_combined_G05_e01,20251017_combined_G06_e01,20251017_combined_G07_e01,20251017_combined_H03_e01,20251017_combined_H05_e01,20251017_combined_H06_e01,20251017_combined_H07_e01
20251017_combined_C06_e01,1.94489273006399,3.8258778509588693,8.900858299640833,2.9308434215442434,0.5738581078990389,1.6142761180482506,4.063956474334526,1.760641344940419,4.02862930469588,2.7462306829785685,3.913881778480523,1.9753107786243607,8.465477663593878,4.490304841139035,1.13252141673919,0.0,1.305717804389622,1.3172490813017894,4.277867988266414,1.2180817593421396,5.787285983727005,0.996062367998272,9.722378443356183,6.663192574659248,1.5802373845465938,4.015897785001931,8.110123128748201,4.595006876348221,16.250471020496697,1.8432326407127173,4.6034282510709215,3.487274779529482,1.9477326846674707,2.6756709517697144,3.458447751993336
20251017_combined_C07_e01,2.2292172579662766,2.462216981912048,9.34369438040243,2.409676681342486,1.4786150980775095,1.9310448045241682,4.670446894667656,3.3534798733461524,2.5200701490006963,2.558452225835808,2.0833060688149376,2.3128573136648276,8.813820316278028,4.112851914251645,1.1277360351289452,1.305717804389622,0.0,1.1043273885581102,5.357555697422226,0.8801140089646049,6.226263295942348,1.2994293564553812,10.04654849653449,6.728950129730637,0.8845703961494185,3.0227304041114285,8.608925862213185,5.056171995860749,16.473050565242996,1.8423346191821095,4.878916673570897,3.6202590652026982,1.6937638470563228,2.369833933971219,3.3002009119940556
20251017_combined_D04_e01,2.040140655193144,3.916181964281403,7.378781928951374,1.6442888817129313,0.9159202559797381,1.5979133164856165,5.1798857100976345,1.3206298522893092,2.5618295508542097,0.5125371798159437,2.142417340644558,1.6383530094797685,7.563713086384656,4.5618711520861615,0.5916581243595089,1.3172490813017894,1.1043273885581102,0.0,6.2302722114990905,0.2269491622025972,3.701193397525223,0.5188939244128454,8.399865150790813,7.0054390208701935,2.2807138035470444,0.7569035296783742,8.06508460329953,5.872141871710621,13.34139135125383,1.2866424504190601,2.3060826844892324,4.6215645619566255,0.7101058417280841,1.1776770310365254,2.6694983226371054
20251017_combined_D06_e01,4.49495903512583,3.8082103797111277,4.976536804233372,6.538353325769109,2.999075780978706,5.881636907919096,3.058808782565408,5.635755446553877,6.349845805468809,7.839480489893597,6.461671546663449,5.947871839450487,3.8651909928705876,5.144525480596448,5.623386529898799,4.277867988266414,5.357555697422226,6.2302722114990905,0.0,5.443108881576349,5.665528858219109,5.092440237779019,5.045139780174745,3.3801542394101753,2.673344934999747,9.367858113939764,3.8234991125404796,1.539423109194007,11.917756721276975,6.519087447008178,6.279871518900709,3.8209686504334286,6.322042452851652,6.525342035042746,6.215225186272892
20251017_combined_D07_e01,1.8546275901374996,2.6108410657842054,5.325983211023352,2.2590549650834326,0.9895589071968356,1.6348885155985897,4.1659736422824505,1.2356787434848924,2.558265366108433,0.7776895685466667,2.546888443360111,1.6740479779611708,5.629354853018584,3.983360131218325,0.3745158631080112,1.2180817593421396,0.8801140089646049,0.2269491622025972,5.443108881576349,0.0,2.2549610224101375,0.5673814507067686,6.667815695966149,5.492793520912224,1.8171672042970974,1.3590963208548579,6.988118745157916,4.9944496417237545,11.507770958202586,0.909685365800594,1.4362491193054379,3.739633879921444,0.7021748117151573,1.5015945597636722,2.931046055342041
20251017_combined_E04_e01,5.560500115687036,2.9113314675643824,3.4444500632854886,8.91042804382781,2.9821548576123202,7.915474667830465,3.9693962875024105,4.337945015664042,5.887743922440622,6.513681362833433,6.555022952057576,7.641436894913593,3.8115980703034027,4.083248259027217,3.499067938158356,5.787285983727005,6.226263295942348,3.701193397525223,5.665528858219109,2.2549610224101375,0.0,3.526541313786745,4.655743056887219,3.433996642854627,4.211077627974187,6.0948274807036675,4.888415698164727,3.580809855352174,10.615044384316477,3.4546932705378617,1.336652459864368,3.1066685283393256,7.820535735367522,8.66514568478987,9.689973402952674
20251017_combined_E06_e01,1.9233514074764784,4.192440062547624,7.144345986201101,2.6785566530805434,0.8963060610494568,1.5280919620016247,5.258551851602171,0.5994182919906619,3.0441491299360313,0.6911473112297092,3.1280696604429923,1.3048957651342254,7.459776527296712,4.6545039414277705,0.5412711275913039,0.996062367998272,1.2994293564553812,0.5188939244128454,5.092440237779019,0.5673814507067686,3.526541313786745,0.0,8.335095710310334,6.976158060712913,2.391385151426929,0.8730358786665344,8.069375287575483,4.720311971436254,12.955332208853555,1.2209952034409244,2.1481380680700055,4.311802621192381,0.8148695291970072,1.8993363099185545,2.9230765771375795
20251017_combined_E07_e01,7.895359897152312,4.124927156958583,2.3435337851035167,11.126211814228368,6.754019963686105,9.458009921013831,4.855414932875247,9.441513808835097,7.877413718009308,11.580879730407641,9.262026612302014,10.069566784010242,2.5019254926990495,5.430541276909008,8.231326447172977,9.722378443356183,10.04654849653449,8.399865150790813,5.045139780174745,6.667815695966149,4.655743056887219,8.335095710310334,0.0,2.76249322855965,5.892146202393991,11.864100591071722,2.0939437936424907,4.973963927177155,7.113985763806844,8.201732756122553,6.947025275887527,5.332051308740779,11.170771426196138,11.3258795211033,11.667585271621787
20251017_combined_F03_e01,5.389635898581029,2.1446972042970662,1.5663543658425607,8.06583199068212,4.205305365818488,7.2610098260374265,2.450057400231033,8.033110329011233,5.01050325299219,9.838276293958618,5.83631546265288,7.950463037787805,1.550367725774983,3.1822016954087684,6.872922432491775,6.663192574659248,6.728950129730637,7.0054390208701935,3.3801542394101753,5.492793520912224,3.433996642854627,6.976158060712913,2.76249322855965,0.0,3.320101253064777,10.442492490522147,2.5476792139140327,2.986347710730683,9.956038910332792,6.499758287188718,5.487414496985627,2.8447323609414576,8.873698435987968,8.302247745599256,7.9067217329713
20251017_combined_F05_e01,0.9798573580967389,1.5348652387409987,5.761938029686465,2.070482395236999,0.42703937546142445,1.0307398393628562,1.5861591434461635,2.738128178276417,1.2068828576665562,3.099613053593113,1.4096961223101674,1.0987805363710637,4.51478408582047,2.009790659492846,2.7226291622592744,1.5802373845465938,0.8845703961494185,2.2807138035470444,2.673344934999747,1.8171672042970974,4.211077627974187,2.391385151426929,5.892146202393991,3.320101253064777,0.0,4.401580557784179,5.508738667344546,2.8796433247458757,12.79233891820833,2.557743833745623,3.4386115203675276,1.8592332810801742,1.8051892003384828,2.1000767176898165,2.8589793007672992
