stage_hpf,p5,p50,p95,n
110.75,1117858.1851411422,1410667.1783428562,1748828.976152856,53
111.25,1054291.9205978564,1453147.1988885705,1879987.4617747134,56
111.75,1103424.2262007135,1450630.1559428563,1858161.9407619988,52
112.25,1095935.963773142,1483992.3077014277,1859610.2395185702,54
112.75,1091288.8284824279,1512127.4201457135,1865648.5330999992,48
113.25,1145564.1477244277,1537255.0539685707,1874069.8311251416,50
113.75,1217359.1147772851,1543715.2653771418,1881735.7031182845,51
114.25,1139070.564601428,1579192.8962957135,1921018.6168844276,50
114.75,1173624.9417749995,1557323.6998385703,1822044.059382713,38
115.25,1207492.6046325709,1557052.4616442847,1785337.6552297133,12
115.75,1195442.6790597136,1566673.739022856,1817515.7231704271,46
116.25,1113343.0157031422,1594010.0481757133,1935794.5835069986,42
116.75,1173869.473699428,1592696.3545471418,1924118.277740999,44
117.25,1170426.0754417134,1598899.3444628564,1924689.3393214275,39
117.75,1129105.8778895705,1620576.9295457134,1936882.0265919985,44
118.25,1122757.6957499993,1595524.598239999,1948668.7661368558,39
118.75,1134531.879863999,1608828.8402971418,1972087.3009781418,45
119.25,1216565.8436107137,1561190.6710685703,1864143.3623174273,39
119.75,1251664.113809142,1586174.2608557132,1847897.818329856,12
120.25,1294512.997483285,1556795.6874599988,1809296.787629142,38
120.75,1313184.8634917135,1618740.1442714275,1820108.5309167132,6
121.25,1382460.5658138567,1617258.1010142849,1747807.486138856,5
121.75,1378347.4074748564,1630629.8917128562,1774573.941524856,0
122.25,1376533.3620869992,1586358.1183228563,1779844.8203391419,7
122.75,1386398.932782285,1604057.7913728561,1780899.055754856,5
123.25,1387591.5906327134,1621141.9221628562,1882323.9575482844,6
123.75,1385318.0805619992,1608945.1492028562,1914338.6562845702,7
124.25,1322215.9181717134,1586903.7261699992,1884508.4913875703,7
124.75,1308410.1910688563,1589611.9331714276,1809782.6007914275,7
125.25,1437588.2201618562,1652987.8836014278,1865847.5405295705,6
125.75,1508937.888302999,1669155.262007142,1882296.9977647131,5
126.25,1564181.9559249992,1688897.9448514273,1899588.546043856,6
126.75,1501003.8796564278,1666302.5636342845,1898502.623910999,6
127.25,1475711.4153342848,1681158.9325028562,1906964.2274114275,6
127.75,1373335.2412864277,1653906.8726957133,1891611.4583092846,0
128.25,1394202.8395499992,1658703.7183499988,1894218.342399999,0
128.75,1394202.8395499988,1658703.718349999,1894218.3423999988,0
129.25,1394202.83955,1658703.7183499997,1894218.342399999,0
