embryo_id,set_type,set_rank,genotype,bin_hpf,frame_index,matched_stage_hpf,stage_abs_err_hpf,curvature,experiment_date,well,analysis_use
20251205_C01_e01,mutant,2,cep290_homozygous,28.0,18,27.87057764099121,0.12942235900878885,0.002011726705974,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,30.0,24,30.14514263642578,0.1451426364257813,0.0006502249131963,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,32.0,29,32.040464199902345,0.0404641999023454,0.0005094919780434,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,34.0,34,33.9409186706543,0.05908132934570176,0.0006019546043652,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,36.0,39,35.83844070600586,0.16155929399413793,0.000504455793978,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,38.0,45,38.11538743945313,0.11538743945313001,0.0005527251530545,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,40.0,50,40.01158151696777,0.011581516967773098,0.0006049090942484,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,42.0,55,41.9118314357666,0.08816856423339914,0.0003823235782644,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,44.0,60,43.813126406689456,0.1868735933105441,0.0004100744299036,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,46.0,66,46.1006810423584,0.1006810423584028,0.0002141260980785,20251205,C01,True
20251205_C01_e01,mutant,2,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0002487250584222,20251205,C01,True
20251112_C12_e01,mutant,3,cep290_homozygous,24.0,0,25.0,1.0,0.0006865520958253,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0006229905561244,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0005737353289151,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.000451180582926,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.0005600009779088,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0006963103808285,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,36.0,19,36.27026952468262,0.2702695246826181,0.0010293916631021,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,38.0,22,38.03134323283692,0.03134323283691742,0.0009457712317628,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.0010331791574112,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.0009907748422034,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.0002572949193903,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.0003107287844301,20251112,C12,True
20251112_C12_e01,mutant,3,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0003552455149373,20251112,C12,True
20251112_B09_e01,mutant,4,cep290_homozygous,24.0,0,25.0,1.0,0.0010982425346896,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0010379144904595,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0011085222318606,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.0011931850561606,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.0012060527507946,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0005787994827401,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,36.0,19,36.27026952468262,0.2702695246826181,0.0003603115409404,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,38.0,22,38.03134323283692,0.03134323283691742,0.0007804524074586,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,40.0,25,39.79477616713867,0.2052238328613285,0.0005174828151067,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,42.0,29,42.147866540869146,0.14786654086914552,0.0006236078984355,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,44.0,32,43.906451166162114,0.09354883383788604,0.0005544794847012,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,46.0,36,46.25089496025391,0.250894960253909,0.0003519694407147,20251112,B09,True
20251112_B09_e01,mutant,4,cep290_homozygous,48.0,38,47.423855142431634,0.5761448575683659,0.0004287725574876,20251112,B09,True
20251205_C09_e01,mutant,5,cep290_homozygous,24.0,8,24.06824309157715,0.06824309157714836,0.002125666817916,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,26.0,13,25.96444057141113,0.035559428588868514,0.0018159637647519,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,28.0,18,27.87057764099121,0.12942235900878885,0.0005741852897126,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,30.0,24,30.14514263642578,0.1451426364257813,0.0004024323090678,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,32.0,29,32.040464199902345,0.0404641999023454,0.0010705026388315,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,34.0,34,33.9409186706543,0.05908132934570176,0.0006699927535845,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,36.0,39,35.83844070600586,0.16155929399413793,0.0004854692590158,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,38.0,45,38.11538743945313,0.11538743945313001,0.0006020166329074,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,40.0,50,40.01158151696777,0.011581516967773098,0.0008538123017438,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,42.0,55,41.9118314357666,0.08816856423339914,0.0006647869516843,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,44.0,60,43.813126406689456,0.1868735933105441,0.0004467813677983,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,46.0,66,46.1006810423584,0.1006810423584028,0.000626775788546,20251205,C09,True
20251205_C09_e01,mutant,5,cep290_homozygous,48.0,70,47.62101153120118,0.3789884687988234,0.0004162837043354,20251205,C09,True
20251112_G09_e01,mutant,6,cep290_homozygous,24.0,0,25.0,1.0,0.0006829630194231,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,26.0,2,26.214503708520507,0.21450370852050682,0.0005726561506599,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,28.0,5,27.971825818896484,0.028174181103516105,0.0006564037949682,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,30.0,8,29.728670437890624,0.27132956210937564,0.0005787273783164,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,32.0,12,32.16372909223633,0.1637290922363306,0.0005691025813338,20251112,G09,True
20251112_G09_e01,mutant,6,cep290_homozygous,34.0,15,33.923683731762694,0.07631626823730642,0.0009156206941934,20251112,G09,True
