PCA_1,PCA_2,PCA_3,phenotype
1.166384607712505,1.885450022882349,1.2629217944280349,wt
1.1615544921756282,1.8944802784054655,1.2368149998836657,wt
1.1566152896762827,1.9033105717983305,1.2106528366327602,wt
1.1515535650654591,1.9119162755069257,1.184449229518195,wt
1.146348925145472,1.9202834387658594,1.158190140760083,wt
1.140984334829007,1.928394295770172,1.1318838661661867,wt
1.1354419581089208,1.9362395629284392,1.105532826940042,wt
1.1297078025053084,1.9438177872892155,1.0791469199783392,wt
1.1237721638017826,1.9511416121832785,1.0527337401152903,wt
1.1176334367101566,1.9582379728468546,1.0263045552948487,wt
1.11129952965956,1.965148124705984,0.9998722189075915,wt
1.1047875711282464,1.9719245632937852,0.9734485576500619,wt
1.0981222049264334,1.978624946032275,0.9470437335735696,wt
1.0913323710493255,1.9853055090409677,0.9206651968012084,wt
1.084447636805507,1.9920155572511395,0.8943171567492376,wt
1.0774817968667012,1.9987759008282293,0.86800523488234,wt
1.0704177982194454,2.0055709174091385,0.8417280856160696,wt
1.0632380662646914,2.0123839144312408,0.8154861883127477,wt
1.0559269013282646,2.0192007339026037,0.7892809232779884,wt
1.0484700003182108,2.0260087215783873,0.7631153137882767,wt
1.040853271970408,2.032796789317029,0.7369915794618744,wt
1.033061895971617,2.039555441481452,0.7109094295643216,wt
1.0250830465658298,2.0462738285640807,0.6848762318938612,wt
1.0169010073728293,2.052943479625409,0.6588916562363201,wt
1.0085014995532335,2.0595542184604043,0.6329627179802231,wt
0.9998680548529999,2.0660967910685564,0.6070929035211767,wt
0.9909836839906625,2.0725611362546243,0.5812883028356804,wt
0.9818301364222153,2.0789366278297625,0.5555561033599851,wt
0.972387317157382,2.0852121027272985,0.5299038676013627,wt
0.9626335550425811,2.091375265313659,0.504341307026087,wt
0.9525444415062694,2.0974129828849724,0.47887834797789725,wt
0.9420939502170362,2.1033100984753443,0.4535292954280272,wt
0.931252111685895,2.1090502346745703,0.42830849814024596,wt
0.9199861000708941,2.1146144736294614,0.4032348484508451,wt
0.908258699135618,2.119981402546535,0.3783302297255196,wt
0.8960343997636109,2.1251285320185946,0.3536203638205387,wt
0.8833039322576586,2.130045363416658,0.32911793678043355,wt
0.8700719736497023,2.1347248135193237,0.3048367578321378,wt
0.8563429243408489,2.1391606397729275,0.2807872745420715,wt
0.8421225001423858,2.1433467877736905,0.2569797107819524,wt
0.827417735194033,2.147277433884665,0.23342391915174965,wt
0.8122369718344141,2.150947021463679,0.2101292387969287,wt
0.7965898389853128,2.1543502899162053,0.1871043609141711,wt
0.7804872210735198,2.157482296000216,0.16435720383629882,wt
0.7639407739685915,2.160338499304175,0.14189420539866926,wt
0.7469625547276286,2.1629147681578997,0.11971991190420875,wt
0.729568213014979,2.1652069096794175,0.09784104937382589,wt
0.711770353932038,2.167211580383893,0.0762580163764387,wt
0.6935867462253897,2.168925181109657,0.05497518353039544,wt
0.6750332704468834,2.170344684283251,0.033992163490278164,wt
0.6561266211322773,2.171467208528923,0.013307242069091096,wt
0.6368858206353057,2.1722899194303436,-0.007081092394253212,wt
0.6173296607819908,2.1728101454102777,-0.02717704370537044,wt
0.59747701659387,2.1730259112466976,-0.046985509128151706,wt
0.5773430710440443,2.1729395202095088,-0.06650864835199001,wt
0.5569415753968148,2.172555955667352,-0.08575009544936744,wt
0.5362898304272538,2.17188179598312,-0.10471357024717928,wt
0.5154044439635054,2.1709251824243565,-0.12340696580738578,wt
0.4943031763263859,2.1696958385854,-0.14184057050777235,wt
0.47300505649518776,2.16820509673733,-0.1600269879699472,wt
0.45153014485605325,2.166465893096338,-0.17798134146005495,wt
0.4298983910959763,2.1644926524667434,-0.19572216817106894,wt
0.4081305508002128,2.1623013199186385,-0.21327055921116975,wt
0.38624857152928455,2.1599093838298713,-0.23064979333940086,wt
0.36427447565216836,2.157335729627067,-0.24788615089036123,wt
0.34223087028408106,2.154600646554772,-0.26500839804375037,wt
0.32014065369248185,2.151725748694948,-0.2820479112562238,wt
0.2980277406085583,2.1487340048528716,-0.299037958138341,wt
0.27590659532480155,2.145638885153424,-0.315998436775191,wt
0.25376530259824814,2.142426338603341,-0.33291017191355543,wt
0.23158649752513577,2.13907715139874,-0.34974715237748416,wt
0.20935428313028778,2.1355717397240648,-0.3664806386414725,wt
0.18705096777333088,2.1318896830462064,-0.38308166492232404,wt
0.16466038021722257,2.1280102855924636,-0.3995185999991584,wt
0.14216515712610364,2.1239121865870505,-0.4157592561200772,wt
0.11954990850994461,2.1195739916398515,-0.4317687085476978,wt
0.0967993719580796,2.1149740635259726,-0.447510852753931,wt
