run_id,pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,bin_mid_hpf,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
phase2_24_48_ott_v1,20251112_B09_e01__24to26,20251112_B09_e01,mutant,4,cep290_homozygous,24.0,26.0,25.0,-277.21698,-655.361,100.506355,44.475925,-36.061466,2.008234,0.5406541,43.811413,24.68024,58.858704
phase2_24_48_ott_v1,20251112_B09_e01__26to28,20251112_B09_e01,mutant,4,cep290_homozygous,26.0,28.0,27.0,-798.3292,-751.2026,71.708916,-54.24016,-3.8602831,48.19035,23.711939,-47.22354,-97.1563,-39.882767
phase2_24_48_ott_v1,20251112_B09_e01__28to30,20251112_B09_e01,mutant,4,cep290_homozygous,28.0,30.0,29.0,-1145.2164,-540.653,137.18777,25.61858,-24.466965,44.657707,44.322414,54.24036,-41.52366,12.56844
phase2_24_48_ott_v1,20251112_B09_e01__30to32,20251112_B09_e01,mutant,4,cep290_homozygous,30.0,32.0,31.0,-977.6053,-620.1441,61.52398,-38.800987,-71.92821,-5.043254,-2.3546176,15.746971,-32.602287,79.029625
phase2_24_48_ott_v1,20251112_B09_e01__32to34,20251112_B09_e01,mutant,4,cep290_homozygous,32.0,34.0,33.0,100.7004,-671.42633,19.075352,-64.07284,4.646039,8.737915,-10.574982,30.103575,8.06842,-63.686005
phase2_24_48_ott_v1,20251112_B09_e01__34to36,20251112_B09_e01,mutant,4,cep290_homozygous,34.0,36.0,35.0,-2277.6074,-583.47815,333.41275,-22.141205,-3.8989735,116.87167,130.39108,-35.608727,-38.509132,-21.085424
phase2_24_48_ott_v1,20251112_B09_e01__36to38,20251112_B09_e01,mutant,4,cep290_homozygous,36.0,38.0,37.0,-1000.9924,-689.99286,180.87085,-7.473429,-9.209465,-22.36291,46.194916,38.410397,-33.934895,-10.021061
phase2_24_48_ott_v1,20251112_B09_e01__38to40,20251112_B09_e01,mutant,4,cep290_homozygous,38.0,40.0,39.0,-19.620129,-730.6121,52.456646,-77.34932,18.188374,-25.095282,-35.246548,30.875092,7.5882063,-52.262966
phase2_24_48_ott_v1,20251112_B09_e01__40to42,20251112_B09_e01,mutant,4,cep290_homozygous,40.0,42.0,41.0,-1249.5392,-751.83374,195.53447,-4.147732,41.5815,24.927807,-9.11447,83.639915,-29.61426,-60.04185
phase2_24_48_ott_v1,20251112_B09_e01__42to44,20251112_B09_e01,mutant,4,cep290_homozygous,42.0,44.0,43.0,62.322834,-692.3356,35.49073,-58.12368,15.167917,3.189822,-27.346483,27.910757,-5.692273,-47.86208
