"timepoint_x","perturbation_x","m_severity_x","cell_group","log_abund_x","log_abund_se_x","log_abund_sd_x","timepoint_y","perturbation_y","m_severity_y","log_abund_y","log_abund_se_y","log_abund_sd_y","delta_log_abund","delta_log_abund_se","delta_p_value","delta_q_value","power","mdfc","timepoint","m_severity","x_perturbation","y_perturbation"
72,"ctrl-inj","severe","hindbrain, glutamatergic neuron (lhx9+)",2.6420413062669,0.0995282716980645,0.321425197742698,72,"lmx1ba;lmx1bb","severe",2.04610060870529,0.125612585100474,0.321425197742698,-0.59594069756161,0.160263527986961,0.000279566865626596,0.00279566865626596,0.960672239936072,1.81473728443949,72,"severe","ctrl-inj","lmx1ba;lmx1bb"
72,"ctrl-inj","severe","hindbrain, marginal zone",0.151730145896377,0.463450149647553,0.321425197742698,72,"lmx1ba;lmx1bb","severe",0.491824526956913,0.260004956386915,0.321425197742698,0.340094381060537,0.531402501456383,0.523121415906883,0.687972223883192,0.0980842694562699,1.42570755430401,72,"severe","ctrl-inj","lmx1ba;lmx1bb"
72,"ctrl-inj","severe","hindbrain, marginal zone, (ebf3a+)",0.324209934864916,0.3671517854487,0.321425197742698,72,"lmx1ba;lmx1bb","severe",0.978592659424006,0.109329044711525,0.321425197742698,0.654382724559091,0.383083898872953,0.0896016704643184,0.268113538794731,0.400732697082413,1.92418748295815,72,"severe","ctrl-inj","lmx1ba;lmx1bb"
72,"ctrl-inj","severe","lateral hindbrain, glutamatergic neuron",-1.86296531564752,0.349261788141822,0.321425197742698,72,"lmx1ba;lmx1bb","severe",-2.05685492313845,0.331999272015852,0.321425197742698,-0.193889607490928,0.481878940476836,0.687972223883192,0.687972223883192,0.0687441140087938,1.25705790058247,72,"severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain (lhx9+, barhl1b+)",-0.442356566132887,0.295100110441067,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",0.188586999286681,0.291354505367525,0.321425197742698,0.630943565419568,0.414694493549511,0.13018037145086,0.279988487310091,0.330762031485596,1.87991939244849,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain and spinal cord, glycinergic and gabaergic neuron",3.16763091827226,0.0407075583152113,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",3.21309812850889,0.109522099772291,0.321425197742698,0.0454672102366351,0.116842610560181,0.69771250281445,0.775236114238278,0.067520376659556,1.05589012894067,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain and spinal cord, glycinergic and gabaergic neuron (mecom+, chrm2a+)",-2.41149705516646,0.474315612688491,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",-2.04212648094239,0.495030440753125,0.321425197742698,0.36937057422407,0.685587658663932,0.590822015973975,0.738527519967469,0.0838614281011854,1.4887239700514,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain, (lmx1ba+, lmx1bb+)",0.528661266796433,0.148811695670895,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",0.691549268257129,0.221690219259735,0.321425197742698,0.162888001460697,0.267004633075676,0.542717517083817,0.738527519967469,0.0936075042408191,1.1867007831066,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain, gabaergic and glutamatergic neuron, eye",3.55138967697923,0.0864505249533495,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",3.53608064346603,0.160067744761744,0.321425197742698,-0.0153090335132027,0.181921346130191,0.933044220599823,0.933044220599823,0.0508115948433698,1.0605076455153,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain, glutamatergic neuron",3.71917330821879,0.0334609862648158,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",3.79333701038666,0.0745730329274878,0.321425197742698,0.0741637021678745,0.0817360070092635,0.365626761489167,0.609377935815279,0.148330294036897,1.077774410551,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain, glutamatergic neuron (lhx9+)",2.63196061214217,0.0556196487753963,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",2.15681311544982,0.187163205253124,0.321425197742698,-0.475147496692347,0.195252684310668,0.0160906470447579,0.053635490149193,0.682090335059514,1.60825630318392,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain, marginal zone",-0.505773173986786,0.244699182484139,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",0.595685358256394,0.250389274184413,0.321425197742698,1.10145853224318,0.350103525453548,0.00198432597374166,0.00992162986870829,0.882214646477829,3.00855177141801,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","hindbrain, marginal zone, (ebf3a+)",1.26191343592036,0.132988808045591,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",1.95694317658076,0.14272573316302,0.321425197742698,0.695029740660401,0.195081157399449,0.000487911874009454,0.00487911874009454,0.945511524691728,2.00376872553401,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","not_severe","lateral hindbrain, glutamatergic neuron",-0.719263090446964,0.171395199299764,0.321425197742698,60,"lmx1ba;lmx1bb","not_severe",-0.158814148226419,0.336695258302268,0.321425197742698,0.560448942220545,0.377809490757229,0.139994243655046,0.279988487310091,0.317129541672962,1.7519923448995,60,"not_severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","severe","hindbrain (lhx9+, barhl1b+)",-0.394561336090077,0.166912078103617,0.321425197742698,60,"lmx1ba;lmx1bb","severe",-0.277584817879503,0.283464386738177,0.321425197742698,0.116976518210574,0.328955468666686,0.722623724013654,0.80291524890406,0.0646079543367214,1.15679038323419,60,"severe","ctrl-inj","lmx1ba;lmx1bb"
60,"ctrl-inj","severe","hindbrain and spinal cord, glycinergic and gabaergic neuron",2.93640269006178,0.0539522094829356,0.321425197742698,60,"lmx1ba;lmx1bb","severe",3.14818811415744,0.0189399881750858,0.321425197742698,0.211785424095656,0.0571801019600609,0.000294846670646095,0.00279370116524148,0.959408851246578,1.23588267198307,60,"severe","ctrl-inj","lmx1ba;lmx1bb"
